,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
872,Rated Blitz game,2021.02.13,Jay_1999,raf108,Won,1988,5,1928,-5,Jay_1999,1988,raf108,1928,Won agaist high rated player,C41,Time forfeit,blitz,2021.02.13,2/10/2023 11:32,Standard,Philidor's Defense,1993,11,morning,morning
873,Rated Blitz game,2021.02.13,Jay_1999,EspressoLover1,Lost,1992,-4,2138,3,EspressoLover1,2138,Jay_1999,1992,Lost against very high rated player,B22,Time forfeit,blitz,2021.02.13,2/10/2023 10:22,Standard,Sicillian Defense,1992,10,morning,morning
874,Rated Blitz game,2021.02.12,Room1zero1,Jay_1999,Won,1975,-5,1986,6,Jay_1999,1986,Room1zero1,1975,Won against Similar Rating,B33,Time forfeit,blitz,2021.02.12,2/10/2023 10:37,Standard,Sicillian Defense,1992,10,morning,morning
875,Rated Blitz game,2021.02.12,Jay_1999,lev1979,Won,1980,6,1979,-6,Jay_1999,1980,lev1979,1979,Won against Similar Rating,B06,Resignation/Checkmate,blitz,2021.02.12,2/10/2023 10:30,Standard,Mixed of opening I usually not played,1986,10,morning,morning
876,Rated Blitz game,2021.02.11,Uhialfil,Jay_1999,Lost,1940,7,1986,-6,Uhialfil,1940,Jay_1999,1986,Lost against Similar Rating,D35,Resignation/Checkmate,blitz,2021.02.11,2/10/2023 7:32,Standard,Queen's Gambit Declined,1986,7,morning,morning
877,Rated Blitz game,2021.02.11,ahmedhamed500,Jay_1999,Lost,2015,6,1992,-6,ahmedhamed500,2015,Jay_1999,1992,Lost against Similar Rating,D01,Time forfeit,blitz,2021.02.11,2/10/2023 7:19,Standard,Mixed of opening I usually not played,1992,7,morning,morning
878,Rated Blitz game,2021.02.11,Jay_1999,VILANCIA,Lost,1997,-5,1998,6,VILANCIA,1998,Jay_1999,1997,Lost against Similar Rating,C00,Resignation/Checkmate,blitz,2021.02.11,2/10/2023 6:43,Standard,French Defense,1997,6,morning,morning
879,Rated Blitz game,2021.02.09,delqp1n,Jay_1999,Lost,2111,4,2001,-4,delqp1n,2111,Jay_1999,2001,Lost against very high rated player,B13,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 16:27,Standard,Caro-Kann Defense,2001,16,afternoon,afternoon
880,Rated Blitz game,2021.02.09,Jay_1999,Opening_Player,Lost,2006,-5,2096,5,Opening_Player,2096,Jay_1999,2006,Lost agaist high rated player,B20,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 16:25,Standard,Sicillian Defense,2006,16,afternoon,afternoon
881,311st KHELO CHESS INDIA Team Battle,2021.02.09,Jay_1999,guptasunil67,Lost,2014,-8,1849,8,guptasunil67,1849,Jay_1999,2014,Lost against very high rated player,B00,Time forfeit,blitz,2021.02.09,2/10/2023 16:18,Standard,Mixed of opening I usually not played,2014,16,afternoon,afternoon
882,311st KHELO CHESS INDIA Team Battle,2021.02.09,StMichael1,Jay_1999,Draw,1945,1,2015,-1,draw,0,draw,0,Draw Game,B10,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 16:14,Standard,Caro-Kann Defense,,16,afternoon,afternoon
883,311st KHELO CHESS INDIA Team Battle,2021.02.09,BRUCE7X7,Jay_1999,Won,1710,-2,2013,2,Jay_1999,2013,BRUCE7X7,1710,Won against very high rated player,D04,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 16:11,Standard,Queen's Pawn' Opening,2015,16,afternoon,afternoon
884,311st KHELO CHESS INDIA Team Battle,2021.02.09,Jay_1999,IMhim_blunderov,Lost,2022,-9,1794,10,IMhim_blunderov,1794,Jay_1999,2022,Lost against very high rated player,A46,Time forfeit,blitz,2021.02.09,2/10/2023 16:04,Standard,Queen's Pawn' Opening,2022,16,afternoon,afternoon
885,311st KHELO CHESS INDIA Team Battle,2021.02.09,Jay_1999,Abhishek_Shrivastava,Won,2021,1,1595,-1,Jay_1999,2021,Abhishek_Shrivastava,1595,Won against very high rated player,C41,Time forfeit,blitz,2021.02.09,2/10/2023 16:00,Standard,Philidor's Defense,2022,16,afternoon,afternoon
886,Rated Blitz game,2021.02.09,Jay_1999,RASHID1968,Won,2017,4,1938,-4,Jay_1999,2017,RASHID1968,1938,Won agaist high rated player,B27,Time forfeit,blitz,2021.02.09,2/10/2023 10:21,Standard,Sicillian Defense,2021,10,morning,morning
887,Rated Blitz game,2021.02.09,gorge_pir,Jay_1999,Won,1952,-7,2012,5,Jay_1999,2012,gorge_pir,1952,Won agaist high rated player,B21,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 9:58,Standard,Sicillian Defense,2017,9,morning,morning
888,Rated Blitz game,2021.02.09,Jay_1999,Sunartossss,Won,2005,7,2037,-6,Jay_1999,2005,Sunartossss,2037,Won against Similar Rating,D00,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 9:42,Standard,Queen's Pawn' Opening,2012,9,morning,morning
889,Rated Blitz game,2021.02.09,Jay_1999,MonsieurTal,Lost,2010,-5,2058,6,MonsieurTal,2058,Jay_1999,2010,Lost against Similar Rating,C01,Resignation/Checkmate,blitz,2021.02.09,2/10/2023 9:23,Standard,French Defense,2010,9,morning,morning
890,Rated Blitz game,2021.02.08,alik_garai,Jay_1999,Lost,1953,7,2017,-7,alik_garai,1953,Jay_1999,2017,Lost agaist high rated player,B12,Resignation/Checkmate,blitz,2021.02.08,2/10/2023 16:58,Standard,Caro-Kann Defense,2017,16,afternoon,afternoon
891,Rated Blitz game,2021.02.08,chulpan-galimova,Jay_1999,Lost,1995,7,2023,-6,chulpan-galimova,1995,Jay_1999,2023,Lost against Similar Rating,A56,Resignation/Checkmate,blitz,2021.02.08,2/10/2023 16:46,Standard,Benoni Defense,2023,16,afternoon,afternoon
892,Rated Blitz game,2021.02.08,Jay_1999,powder13,Won,2016,7,2068,-6,Jay_1999,2016,powder13,2068,Won agaist high rated player,C55,Time forfeit,blitz,2021.02.08,2/10/2023 12:27,Standard,Two Knights Defense,2023,12,afternoon,afternoon
893,Casual Rapid game,2021.02.07,darshil123,Jay_1999,Won,1880,0,2232,0,Jay_1999,2232,darshil123,1880,Won against very high rated player,B10,Resignation/Checkmate,rapid,2021.02.07,2/10/2023 6:43,Standard,Caro-Kann Defense,,6,morning,morning
894,Hourly Blitz Arena,2021.02.06,TheG1rl,Jay_1999,Won,1773,-2,2014,2,Jay_1999,2014,TheG1rl,1773,Won against very high rated player,A30,Time forfeit,blitz,2021.02.06,2/10/2023 17:19,Standard,Mixed of opening I usually not played,2016,17,afternoon,afternoon
895,Hourly Blitz Arena,2021.02.06,Jay_1999,nicolasxi,Won,2011,3,1834,-8,Jay_1999,2011,nicolasxi,1834,Won against very high rated player,C01,Resignation/Checkmate,blitz,2021.02.06,2/10/2023 17:12,Standard,French Defense,2014,17,afternoon,afternoon
